# units:
# wavelength_nm, sun_photons_per_s_m2_nm, asteroid_reflectance, atm_transmission, qe_e_per_photon, mirror_reflectivity

4.100000000000000000e+02,3.350653870603326464e+18,0.000000000000000000e+00,7.956009004159683151e-01,7.593257330000000582e-01,9.349722001829208207e-01
4.110000000000000000e+02,3.464935867861397504e+18,0.000000000000000000e+00,7.974266244348496846e-01,7.618433129999999665e-01,9.355643905190899057e-01
4.120000000000000000e+02,3.739487775751183360e+18,0.000000000000000000e+00,7.992429545397680135e-01,7.644579740000000401e-01,9.363676116193215826e-01
4.130000000000000000e+02,3.685145745933702144e+18,0.000000000000000000e+00,8.010232639333243476e-01,7.667654280000000266e-01,9.369946756937996835e-01
4.140000000000000000e+02,3.639899106224628224e+18,0.000000000000000000e+00,8.028066072850851276e-01,7.687255709999999409e-01,9.371113980752827644e-01
4.150000000000000000e+02,3.625730585145279488e+18,0.000000000000000000e+00,8.045186859295087034e-01,7.707036200000000337e-01,9.379416829160053259e-01
4.160000000000000000e+02,3.744552097018131456e+18,0.000000000000000000e+00,8.061818933513784646e-01,7.727161769999999485e-01,9.387850625737527155e-01
4.170000000000000000e+02,3.680771098636507136e+18,0.000000000000000000e+00,8.079472538133292137e-01,7.747111970000000181e-01,9.396216073979010153e-01
4.180000000000000000e+02,3.523608496456107520e+18,0.000000000000000000e+00,8.093965482443321591e-01,7.767130659999998965e-01,9.404571824767133936e-01
4.190000000000000000e+02,3.570002914742581248e+18,0.000000000000000000e+00,8.113221540926813802e-01,7.786952320000000149e-01,9.409285347530452759e-01
4.200000000000000000e+02,3.655745246650110464e+18,0.000000000000000000e+00,8.129910234208983510e-01,7.807125639999999978e-01,9.416359872523863972e-01
4.210000000000000000e+02,3.766158525326024704e+18,0.000000000000000000e+00,8.146321586715956631e-01,7.827596119999999935e-01,9.421926895238200705e-01
4.220000000000000000e+02,3.588898471278853120e+18,0.000000000000000000e+00,8.162421416253995421e-01,7.844330770000000896e-01,9.423681285086915604e-01
4.230000000000000000e+02,3.506270998997490688e+18,0.000000000000000000e+00,8.178207129096264349e-01,7.858715830000000402e-01,9.425480959259979752e-01
